astronautID,name,expeditions,in,out,days,missionUp
8839,Aidyn Aimbetov,,2-Sep-15,11-Sep-15,9,TMA-18M
4186,Akihiko Hoshide,32|33,15-Jul-12,19-Nov-12,127,
4186,Akihiko Hoshide,,2-Jun-08,11-Jun-08,9,STS-124
8738,Alan Poindexter,,7-Apr-10,17-Apr-10,10,STS-131
8738,Alan Poindexter,,9-Feb-08,18-Feb-08,9,STS-122
8687,Aleksandr Kaleri,8,18-Oct-03,30-Apr-04,195,Soyuz TMA-3
8687,Aleksandr Kaleri,25|26,7-Oct-10,16-Mar-11,160,Soyuz TMA-01M
8687,Aleksandr Kaleri,25|26,7-Oct-10,16-Mar-11,160,
7546,Aleksandr Samokutyayev,42|43,25-Sep-14,12-Mar-15,168,
7546,Aleksandr Samokutyayev,27|28,4-Apr-11,16-Sep-11,165,
913,Aleksandr Skvortsov,60|61,20-Jul-19,6-Feb-20,201,
913,Aleksandr Skvortsov,23|24,2-Apr-10,25-Sep-10,176,
913,Aleksandr Skvortsov,39|40,25-Mar-14,11-Sep-14,170,
14,Aleksey Ovchinin,59|60,14-Mar-19,3-Oct-19,203,
14,Aleksey Ovchinin,47|48,18-Mar-16,7-Sep-16,173,
4596,Alexander Gerst,56|57,6-Jun-18,20-Dec-18,197,
4596,Alexander Gerst,40|41,28-May-14,10-Nov-14,166,
6557,Alexander Misurkin,53|54,12-Sep-17,28-Feb-18,169,
6557,Alexander Misurkin,35|36,28-Mar-13,11-Sep-13,167,
560,Anatoli Ivanishin,62|63,9-Apr-20,21-Oct-20,195,
560,Anatoli Ivanishin,30|31,14-Nov-11,27-Apr-12,165,
560,Anatoli Ivanishin,48|49,7-Jul-16,30-Oct-16,115,
8339,André Kuipers,30|31,21-Dec-11,1-Jul-12,193,Soyuz TMA-03M
8339,André Kuipers,9,19-Apr-04,30-Apr-04,11,Soyuz TMA-4
8339,André Kuipers,29|30,21-Dec-11,1-Jun-12,163,
3942,Andreas Mogensen,,2-Sep-15,11-Sep-15,9,TMA-18M
8996,Andrei Borisenko,49|50,19-Oct-16,10-Apr-17,173,
8996,Andrei Borisenko,27|28,4-Apr-11,16-Sep-11,165,
5532,Andrew Feustel,55|56,21-Mar-18,4-Oct-18,197,
5532,Andrew Feustel,,18-May-11,30-May-11,12,STS-134
3,Andrew Morgan,60|61|62,20-Jul-19,17-Apr-20,272,
3695,Andrew Thomas,,10-Mar-11,19-Mar-11,9,STS-102
3695,Andrew Thomas,,28-Jul-05,6-Aug-05,9,STS-114
7,Anne McClain,57|58|59,3-Dec-18,25-Jun-19,204,
1442,Anousheh Ansari,,20-Sep-06,28-Sep-06,8,TMA-9
5634,Anton Shkaplerov,42|43,23-Nov-14,11-Jun-15,200,
5634,Anton Shkaplerov,54|55,17-Dec-17,3-Jun-18,168,
5634,Anton Shkaplerov,30|31,14-Nov-11,27-Apr-12,165,
9878,Barbara Morgan,,10-Aug-07,19-Aug-07,9,STS-118
5819,Barry Wilmore,41|42,25-Sep-14,12-Mar-15,168,
5819,Barry Wilmore,,18-Nov-09,25-Nov-09,7,STS-129
7059,Benjamin Drew,,10-Aug-07,19-Aug-07,9,STS-118
7059,Benjamin Drew,,26-Feb-11,7-Mar-11,9,STS-133
3340,Brent Jett,,2-Dec-00,9-Dec-00,7,STS-97
3340,Brent Jett,,11-Sep-06,17-Sep-06,6,STS-115
9962,Carl Walz,4,5-Dec-01,19-Jun-02,196,STS-108
1646,Carlos Noriega,,2-Dec-00,9-Dec-00,7,STS-97
3794,Catherine Coleman,26|27,15-Dec-10,24-Mar-11,99,
9640,Charles Camarda,,28-Jul-05,6-Aug-05,9,STS-114
4365,Charles Hobaugh,,10-Aug-07,19-Aug-07,9,STS-118
4365,Charles Hobaugh,,14-Jul-01,22-Jul-01,8,STS-104
4365,Charles Hobaugh,,18-Nov-09,25-Nov-09,7,STS-129
8615,Charles Simonyi,,9-Apr-07,21-Apr-07,12,TMA-10
8615,Charles Simonyi,,28-Mar-09,8-Apr-09,11,TMA-13
6811,Chris Hadfield,34|35,19-Dec-12,14-Mar-13,85,
3470,Christer Fugelsang,,11-Dec-06,19-Dec-06,8,STS-116
3470,Christer Fugelsang,,31-Aug-09,8-Sep-09,8,STS-128
4,Christina Koch,59|60|61,14-Mar-19,6-Feb-20,329,
6391,Christopher Ferguson,,11-Sep-06,17-Sep-06,6,STS-115
5018,Christopher Cassidy,62|63,9-Apr-20,21-Oct-20,195,
5018,Christopher Cassidy,35|36,28-Mar-13,11-Sep-13,167,
5018,Christopher Cassidy,,17-Jul-09,28-Jul-09,11,STS-127
6391,Christopher Ferguson,,16-Nov-08,28-Nov-08,12,STS-126
6391,Christopher Ferguson,,10-Jul-11,19-Jul-11,9,STS-135
4867,Claudie Haigneré,,23-Oct-01,31-Oct-01,8,TM-33
951,Clayton Anderson,15|16,8-Jun-07,7-Nov-07,152,
951,Clayton Anderson,,7-Apr-10,17-Apr-10,10,STS-131
939,Dafydd Williams,,10-Aug-07,19-Aug-07,9,STS-118
968,Daniel Barry,,12-Aug-01,20-Aug-01,8,STS-105
8760,Daniel Burbank,30|31,14-Nov-11,27-Apr-12,165,
8760,Daniel Burbank,,11-Sep-06,17-Sep-06,6,STS-115
5101,Daniel Bursch,4,5-Dec-01,19-Jun-02,196,STS-108
2262,Daniel Tani,16,23-Oct-07,20-Feb-08,120,
2262,Daniel Tani,,7-Dec-01,15-Dec-01,8,STS-108
8,David Saint-Jacques,57|58|59,3-Dec-18,25-Jun-19,204,
731,David Wolf,,17-Jul-09,28-Jul-09,11,STS-127
731,David Wolf,,9-Oct-02,16-Oct-02,7,STS-112
9395,Dennis Tito,,30-Apr-01,6-May-01,6,TM-32
7890,Dmitri Kondratyev,26|27,15-Dec-10,24-Mar-11,99,
6912,Dominic Antonelli,,17-Mar-09,25-Mar-09,8,STS-119
